ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000094926.1	0	0	0	0	0	0	0	0
ENSMUSG00000085079.3	0	1	0	0	0	0	0	0
ENSMUSG00000085679.2	0	0	0	0	0	0	0	0
ENSMUSG00000028033.16	10	4	12	5	14	20	109	24
ENSMUSG00000104138.1	1	1	1	0	0	0	5	0
ENSMUSG00000082935.3	14	6	11	11	13	17	58	18
ENSMUSG00000103748.1	2	0	1	0	0	5	12	2
ENSMUSG00000099692.1	0	0	0	0	0	0	0	0
ENSMUSG00000100418.1	0	0	0	0	0	0	0	1
ENSMUSG00000041670.17	3	0	2	3	0	1	3	2
ENSMUSG00000097642.1	0	0	1	0	0	0	0	0
ENSMUSG00000101468.1	1	1	0	0	0	0	0	0
ENSMUSG00000101227.1	0	0	0	0	0	1	1	0
ENSMUSG00000073730.2	2	0	4	1	0	0	0	1
ENSMUSG00000089553.1	0	0	0	0	0	0	0	0
ENSMUSG00000102766.1	4	0	0	1	0	0	1	1
ENSMUSG00000065405.3	0	4	1	7	1	5	15	3
ENSMUSG00000097970.1	89	109	99	89	37	48	222	47
ENSMUSG00000065567.1	0	0	0	0	0	0	0	0
ENSMUSG00000100775.1	10	15	30	19	9	7	17	8
ENSMUSG00000101226.1	2	3	2	0	1	0	1	1
ENSMUSG00000026158.11	773	689	697	670	909	545	2263	761
ENSMUSG00000097920.1	0	1	2	0	0	0	4	0
ENSMUSG00000099503.1	0	0	0	0	0	0	0	0
ENSMUSG00000026156.8	112	112	123	124	148	114	480	141
ENSMUSG00000026155.13	347	338	323	388	521	629	2379	711
ENSMUSG00000026154.4	159	173	137	143	162	151	548	186
ENSMUSG00000102495.1	1	0	1	0	0	1	0	0
ENSMUSG00000026153.15	1772	1609	1835	1677	1850	1483	6361	1821
ENSMUSG00000102398.1	11	3	8	2	7	5	9	3
ENSMUSG00000097670.1	0	0	0	0	0	0	0	0
ENSMUSG00000026147.16	0	0	0	0	1	0	8	2
ENSMUSG00000026141.13	20	9	16	14	10	6	13	7
ENSMUSG00000077463.1	0	0	0	0	0	0	0	0
ENSMUSG00000099997.1	0	1	1	0	0	0	2	1
ENSMUSG00000100131.1	0	0	0	0	0	0	0	0
ENSMUSG00000067736.2	0	0	0	0	0	0	0	0
ENSMUSG00000101939.1	0	0	0	1	0	0	0	0
ENSMUSG00000101111.1	0	0	1	0	0	0	0	0
ENSMUSG00000100862.1	1	0	0	0	0	0	0	1
ENSMUSG00000102070.1	0	0	0	0	0	0	0	0
ENSMUSG00000101249.1	0	0	0	1	0	3	2	0
ENSMUSG00000073725.8	2330	2358	2264	2134	2000	1748	7972	1975
ENSMUSG00000100808.1	0	0	0	0	0	0	0	0
ENSMUSG00000100483.1	0	0	0	0	0	0	0	0
ENSMUSG00000100450.1	0	0	0	0	0	0	1	0
ENSMUSG00000099392.1	0	0	0	0	0	0	1	0
ENSMUSG00000033569.17	0	3	0	0	1	0	0	2
