ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000001773.14	5	3	13	6	2	11	3	8
ENSMUSG00000001774.8	1946	1991	2095	1514	1341	1706	2235	2185
ENSMUSG00000001783.3	1943	1979	1973	1800	2379	2365	2736	3374
ENSMUSG00000001785.13	483	479	520	483	725	783	935	1114
ENSMUSG00000001786.14	563	587	610	493	391	451	483	574
ENSMUSG00000001794.13	5140	4957	4731	4046	6403	5930	6888	8433
ENSMUSG00000001802.16	102	112	108	102	40	36	62	118
ENSMUSG00000001804.9	0	0	0	0	0	0	0	0
ENSMUSG00000001815.15	0	0	0	0	0	0	0	0
ENSMUSG00000001819.4	0	0	0	0	0	0	0	0
ENSMUSG00000001823.5	0	0	1	0	0	0	0	0
ENSMUSG00000001827.12	0	9	8	3	13	1	1	2
ENSMUSG00000001829.17	784	764	798	769	685	986	934	1074
ENSMUSG00000001833.17	5675	5962	5933	4863	6288	7392	8096	9353
ENSMUSG00000001844.10	577	630	596	451	488	491	564	855
ENSMUSG00000001847.14	11815	11936	11896	9329	9776	10748	11800	14195
ENSMUSG00000001855.15	2217	2325	2436	1764	1709	2040	2103	2358
ENSMUSG00000001864.13	34	35	22	26	25	42	40	47
ENSMUSG00000001865.2	16	27	10	19	39	14	39	12
ENSMUSG00000001870.16	6012	6186	5930	5071	8605	8125	9760	10242
ENSMUSG00000001891.16	1280	1405	1386	1099	1627	1593	1866	2141
ENSMUSG00000001901.15	36	53	63	23	82	36	48	85
ENSMUSG00000001909.16	990	1040	906	856	1216	1095	1563	1610
ENSMUSG00000001910.5	2540	2255	2524	2126	2989	3603	3555	4339
ENSMUSG00000001911.16	5134	5398	5593	4449	2283	3100	2610	3375
ENSMUSG00000001918.17	615	685	637	570	538	976	1034	1259
ENSMUSG00000001924.15	7761	7909	8227	6866	12660	12576	14484	16999
ENSMUSG00000001930.17	128287	114289	112464	92967	67600	79246	82661	96619
ENSMUSG00000001942.8	436	401	453	385	374	429	448	499
ENSMUSG00000001943.8	1118	1450	1682	1022	1161	1199	1568	2095
ENSMUSG00000001946.14	16626	16768	17078	15204	26238	22413	29421	35628
ENSMUSG00000001948.10	11	11	18	13	12	17	8	24
ENSMUSG00000001962.8	578	616	592	504	588	618	614	789
ENSMUSG00000001964.14	611	652	703	577	648	939	887	1051
ENSMUSG00000001983.7	210	164	171	157	149	157	180	284
ENSMUSG00000001985.9	4	1	6	2	7	10	5	13
ENSMUSG00000001986.16	191	260	247	192	142	144	204	227
ENSMUSG00000001988.9	29	26	18	41	12	19	15	32
ENSMUSG00000001995.9	6347	6179	7231	5179	5018	5283	6069	6618
ENSMUSG00000001998.15	803	874	854	745	805	720	977	1186
ENSMUSG00000001999.15	248	277	217	194	493	423	538	692
ENSMUSG00000002006.12	145	166	158	102	67	148	104	163
ENSMUSG00000002007.5	91	116	117	87	62	76	68	81
ENSMUSG00000002010.17	984	1151	1166	930	1318	1397	1362	1713
ENSMUSG00000002012.13	8	17	16	22	9	16	10	3
ENSMUSG00000002014.12	614	666	594	550	901	883	1297	1481
ENSMUSG00000002015.5	2043	2074	2010	1659	1662	1985	2355	2761
ENSMUSG00000002017.10	792	751	743	650	924	1197	1216	1450
ENSMUSG00000002020.15	516	785	610	430	1225	740	1431	1614
ENSMUSG00000002028.13	9778	10795	10328	7724	6155	7475	8377	9406
ENSMUSG00000002031.13	437	546	574	401	563	526	702	874
ENSMUSG00000002032.17	13	22	42	15	8	6	24	38
ENSMUSG00000002033.14	0	4	5	1	0	10	9	2
ENSMUSG00000002043.17	174	188	221	160	177	144	264	315
ENSMUSG00000002052.6	4850	4975	4769	4077	4278	4949	5029	5986
ENSMUSG00000002055.9	19	28	23	6	899	1105	1072	1662
ENSMUSG00000002057.4	1	0	0	0	0	0	1	0
ENSMUSG00000002058.13	45	26	84	18	70	37	49	57
ENSMUSG00000002059.18	244	296	298	236	317	320	345	407
ENSMUSG00000002064.10	629	627	578	610	871	748	984	1134
ENSMUSG00000002068.16	5	9	9	11	162	221	228	291
ENSMUSG00000002076.12	0	5	3	0	6	16	18	37
ENSMUSG00000002083.13	685	713	717	570	910	724	889	1227
ENSMUSG00000002100.15	17	28	52	17	10	25	46	38
ENSMUSG00000002102.15	1972	2030	2024	1910	3213	3216	3725	4520
ENSMUSG00000002103.16	928	937	963	737	924	899	893	1261
ENSMUSG00000002104.11	3	7	5	0	2	0	7	3
ENSMUSG00000002105.15	692	764	723	574	671	518	827	968
ENSMUSG00000002107.18	793	1101	924	771	514	666	747	856
ENSMUSG00000002108.10	130	147	165	117	122	105	177	184
ENSMUSG00000002109.14	119	125	114	111	74	60	77	88
ENSMUSG00000002111.8	9	9	30	8	57	114	146	45
ENSMUSG00000002129.11	2004	2067	2064	1741	2350	2837	2912	3768
ENSMUSG00000002147.18	3526	3930	4083	3457	3054	3010	3490	4242
ENSMUSG00000002190.13	2	3	0	0	2	1	6	2
ENSMUSG00000002204.9	639	591	742	530	514	755	781	959
ENSMUSG00000002205.16	756	721	782	545	724	686	886	1120
